bars_x,bars_y,distr_x,distr_sum_y,distr_1_y,distr_2_y,distr_3_y,distr_4_y,distr_5_y
122,15,122,13.8514395537922,6.5306901497085e-40,0.000130649899529645,1.42514818527508e-05,0.392387221943654,13.4589074304672
124,9,124,13.9277028813196,2.03469864061827e-41,6.3958568636692e-05,3.71772116668594e-06,0.191234258975125,13.7364009460547
126,14,126,13.8239859586665,5.95521857014371e-43,3.06778725577114e-05,9.11066753872562e-07,0.087553423672485,13.7364009460547
128,13,128,13.4965783159524,1.6373891617612e-44,1.44174544955868e-05,2.097394759759e-07,0.0376562582912246,13.4589074304672
130,10,130,12.9358455548473,4.22924370847561e-46,6.63878779765346e-06,4.53593427627411e-08,0.0152145036941553,12.920624367006
132,11,132,12.1590728585607,1.02619550342588e-47,2.9952000346835e-06,9.21530943416137e-09,0.0057747742417548,12.1532950799036
134,11,134,11.2026640996925,2.33912859270392e-49,1.3240357892017e-06,1.75877258339284e-09,0.00205905916675299,11.2006037147312
136,9,136,10.1147535958121,5.00881144147289e-51,5.73469683758263e-07,3.15330548496746e-10,0.000689698428762971,10.1140633235983
138,9,138,8.94864535282416,1.00756219275452e-52,2.43364961605955e-07,5.31103300533752e-11,0.000217023239502764,8.94842808616658
140,7,140,7.75725879854823,1.90399427341174e-54,1.01191139211577e-07,8.40327448001614e-12,6.4151947060785e-05,7.75719454540163
142,8,142,6.58871373491317,3.37999460956648e-56,4.1225294500209e-08,1.24903524452404e-12,1.78143523159384e-05,6.58869587933431
144,4,144,5.48316679415684,5.63667470701976e-58,1.64559097038596e-08,1.74404397803694e-13,4.64715145835743e-06,5.48316213054929
146,4,146,4.47094854765606,8.83052515382752e-60,6.43601239494785e-09,2.28768784980041e-14,1.1388334423407e-06,4.47094740238658
148,4,148,3.57194623525567,1.29959097411214e-61,2.4663158576013e-09,2.81898454005233e-15,2.62174344969875e-07,3.57194597061501
150,6,150,2.79606367723829,1.79673255055675e-63,9.26013602241412e-10,3.26321146003287e-16,5.66991784534264e-08,2.79606361961309
152,4,152,2.14450007723432,2.33354822281134e-65,3.40661366509726e-10,3.54857783694011e-17,1.15191367927017e-08,2.14450006537452
154,6,154,1.61154310644867,2.84712620839827e-67,1.22790636219142e-10,3.62510048130577e-18,2.19846572924105e-09,1.61154310412742
156,9,156,1.18657347538653,3.26327183880809e-69,4.33655104026161e-11,3.47890329811236e-19,3.94163185620932e-10,1.186573474949
158,2,158,0.856020554053305,3.51363287588481e-71,1.50058472857431e-11,3.13632644449435e-20,6.6387912566719e-11,0.856020553971911
160,4,160,0.605076933053578,3.55398921667269e-73,5.08760551768644e-12,2.65617544593906e-21,1.05040931000202e-11,0.605076933037986
162,2,162,0.419057722609523,3.37701060438518e-75,1.69006412973586e-12,2.11324013548331e-22,1.56129405565505e-12,0.419057722606272
164,4,164,0.284363563086616,3.01443093443159e-77,5.50084979346754e-13,1.57941965384778e-23,2.18005497254617e-13,0.284363563085848
166,7,166,0.189064893101373,2.52775423288401e-79,1.75425706999101e-13,1.10892664928372e-24,2.85960981225052e-14,0.189064893101169
168,2,168,0.123164255774093,1.99122781222196e-81,5.48142570473761e-14,7.31416406311429e-26,3.52373067506541e-15,0.123164255774035
170,2,170,0.0786131733655381,1.47354583000253e-83,1.67814960840362e-14,4.53192975764437e-27,4.07901432504108e-16,0.0786131733655209
